,pitch_type,release_speed,release_pos_x,release_pos_y,release_pos_z,zone,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,spin_axis,winning_by,count
2,FF,95.4,2.84,54.3,5.4,13.0,0,0,0.0,1,1,1.39,1.09,-1.19,2.56,0,0,1,1,8,0.0,0.0,0.0,94.9,2447.0,6.2,125.0,0,1-1
9,SI,94.3,3.2,54.41,5.0,14.0,1,0,0.0,1,1,1.5,0.47,1.5,1.75,0,0,0,0,8,0.0,0.0,0.0,93.8,2348.0,6.1,103.0,1,1-1
13,FF,95.5,3.07,53.83,5.06,13.0,1,0,1.0,1,1,1.29,0.67,-1.2,2.28,0,1,1,2,7,20.0,66.8,-5.0,95.7,2440.0,6.7,114.0,1,1-1
18,SL,83.9,2.98,54.66,5.15,14.0,1,0,0.0,1,1,-1.05,-0.2,0.16,1.45,0,0,1,2,7,0.0,0.0,0.0,83.1,2756.0,5.8,289.0,1,1-1
23,FF,96.5,3.02,54.1,5.09,4.0,1,0,1.0,1,1,1.48,0.85,-0.37,2.13,0,0,1,1,7,0.0,0.0,0.0,96.1,2525.0,6.4,116.0,1,1-1
33,SL,82.5,3.11,54.77,5.22,8.0,1,0,1.0,1,1,-1.59,-0.2,-0.13,1.6,0,0,0,0,7,0.0,0.0,0.0,81.5,2809.0,5.7,283.0,1,1-1
43,FF,95.6,2.97,54.26,5.28,11.0,1,0,0.0,1,1,1.37,1.0,-1.06,2.64,0,0,0,1,6,51.0,88.7,1.0,95.1,2569.0,6.2,123.0,1,1-1
48,FF,95.5,2.96,54.2,5.17,11.0,1,0,0.0,1,1,1.05,0.88,-1.24,2.97,0,0,0,2,5,0.0,0.0,0.0,95.6,2433.0,6.3,127.0,-1,1-1
57,FF,94.9,3.11,54.23,5.21,4.0,1,0,1.0,1,1,1.01,0.8,-0.81,2.62,0,0,0,1,5,0.0,0.0,0.0,95.1,2401.0,6.3,124.0,-1,1-1
60,FF,94.6,2.99,54.37,5.19,11.0,1,0,0.0,1,1,1.27,1.04,-0.69,3.47,0,0,0,0,5,0.0,0.0,0.0,93.7,2415.0,6.1,126.0,-1,1-1
74,SI,95.2,3.24,54.51,5.02,14.0,0,0,0.0,1,1,1.73,0.36,0.03,1.09,0,0,0,0,4,0.0,0.0,0.0,94.5,2275.0,6.0,98.0,-1,1-1
85,FF,92.4,3.07,54.73,5.24,11.0,1,0,0.0,1,1,0.9,0.97,-0.49,3.51,0,0,0,0,6,0.0,0.0,0.0,91.0,2364.0,5.8,133.0,-3,1-1
103,FF,97.6,3.12,54.15,5.21,6.0,1,0,0.0,1,1,1.02,0.97,0.43,2.74,0,1,1,2,4,386.0,100.0,24.0,97.2,2416.0,6.4,130.0,0,1-1
107,FF,97.6,3.23,54.21,5.13,2.0,1,0,1.0,1,1,0.77,1.17,-0.02,3.39,0,1,1,1,4,176.0,72.7,64.0,96.7,2420.0,6.3,143.0,0,1-1
