release_speed,release_pos_x,release_pos_y,release_pos_z,zone,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,spin_axis,winning_by
89.7,-1.44,53.92,5.76,14,1,1,0.0,1,0,0.41,0.18,1.11,2.17,0,0,0,2,6,0.0,0.0,0.0,90.3,2426,6.6,164,-2
90.4,-1.39,53.82,5.81,14,1,1,0.0,0,0,0.33,0.35,1.33,1.39,0,0,0,2,6,0.0,0.0,0.0,91.2,2339,6.7,182,-2
89.8,-1.42,53.87,5.74,14,1,1,1.0,1,2,0.4,0.39,1.61,1.0,0,0,0,0,6,0.0,0.0,0.0,91.0,2526,6.6,155,-1
89.2,-1.41,53.81,5.75,14,1,1,1.0,1,1,0.38,0.47,1.42,1.75,0,0,0,0,6,0.0,0.0,0.0,90.3,2523,6.7,156,-1
91.3,-1.49,54.03,5.79,2,1,1,0.0,1,2,0.22,0.35,-0.05,2.92,0,0,0,2,5,169.0,79.5,61.0,92.2,2632,6.5,158,-1
93.2,-1.34,53.87,5.71,14,1,1,0.0,0,2,0.08,0.42,1.91,0.78,0,0,0,2,5,0.0,0.0,0.0,94.0,2570,6.6,196,-1
92.0,-1.46,53.86,5.75,14,1,1,1.0,0,1,0.09,0.39,1.37,1.8,0,0,0,2,5,0.0,0.0,0.0,93.0,2600,6.6,174,-1
91.6,-1.44,53.91,5.77,9,0,1,1.0,1,1,0.47,0.43,0.63,1.68,0,0,0,1,5,13.0,95.0,-7.0,92.7,2676,6.6,149,-1
93.4,-1.47,53.89,5.73,14,0,1,1.0,1,0,0.32,0.58,1.16,1.58,0,0,0,1,5,0.0,0.0,0.0,94.3,2590,6.6,203,-1
91.8,-1.36,53.76,5.83,14,1,1,0.0,2,2,0.29,0.26,1.3,2.13,0,0,0,0,5,0.0,0.0,0.0,93.3,2540,6.7,181,-1
91.3,-1.33,53.88,5.79,14,1,1,0.0,1,2,0.34,0.24,1.49,2.2,0,0,0,0,5,0.0,0.0,0.0,92.8,2566,6.6,157,-1
90.1,-1.52,54.01,5.74,14,1,1,0.0,0,2,0.36,0.36,1.33,1.61,0,0,0,0,5,0.0,0.0,0.0,91.3,2627,6.5,165,-1
90.6,-1.47,53.97,5.76,14,1,1,1.0,0,1,0.22,0.41,1.81,1.9,0,0,0,0,5,0.0,0.0,0.0,91.8,2464,6.5,189,-1
89.4,-1.53,54.03,5.78,14,1,1,1.0,0,0,0.35,0.37,0.99,1.56,0,0,0,0,5,0.0,0.0,0.0,90.5,2446,6.5,161,-1
91.6,-1.32,53.88,5.81,9,1,1,1.0,0,2,0.32,0.24,0.49,2.05,0,0,0,2,4,0.0,0.0,0.0,92.8,2454,6.6,170,-1
92.4,-1.46,53.93,5.77,9,1,1,1.0,0,1,0.15,0.59,0.57,1.78,0,0,0,2,4,0.0,0.0,0.0,93.6,2401,6.6,207,-1
