pitch_type,release_speed,release_pos_x,release_pos_y,release_pos_z,zone,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,spin_axis,winning_by
FF,96.9,2.99,54.13,5.0,8.0,0,0,0.0,3,1,1.39,0.77,0.14,1.45,0,0,1,1,8,275.0,104.4,12.0,96.7,2431.0,6.4,116.0,0
SL,78.7,2.75,54.71,5.3,13.0,0,0,0.0,2,1,-1.25,-0.2,-1.5,2.09,0,0,1,1,8,0.0,0.0,0.0,78.0,2392.0,5.8,285.0,0
FF,95.4,2.84,54.3,5.4,13.0,0,0,0.0,1,1,1.39,1.09,-1.19,2.56,0,0,1,1,8,0.0,0.0,0.0,94.9,2447.0,6.2,125.0,0
FF,95.6,2.81,54.18,5.41,11.0,0,0,0.0,0,1,1.27,1.06,-0.98,3.07,0,0,1,1,8,0.0,0.0,0.0,95.2,2399.0,6.3,126.0,0
FF,94.9,3.19,54.35,5.12,5.0,0,0,1.0,0,0,1.34,0.91,0.07,2.53,0,0,1,1,8,0.0,0.0,0.0,94.2,2433.0,6.2,120.0,0
FF,95.2,3.14,54.15,5.18,4.0,1,0,0.0,0,0,1.27,1.13,-0.71,2.33,0,0,0,1,8,86.0,72.6,7.0,94.5,2600.0,6.4,128.0,0
SL,82.9,3.11,54.78,5.19,7.0,1,0,0.0,0,1,-0.97,-0.36,-0.49,1.8,0,0,0,0,8,55.0,76.6,3.0,81.6,2829.0,5.7,297.0,0
SL,82.7,3.1,54.7,5.13,5.0,1,0,1.0,0,0,-1.06,-0.24,-0.23,2.68,0,0,0,0,8,0.0,0.0,0.0,81.6,2726.0,5.8,291.0,0
CH,88.3,3.15,54.47,4.94,5.0,1,0,0.0,2,1,1.68,0.42,0.27,2.21,0,0,0,0,8,368.0,101.3,32.0,87.3,2253.0,6.0,99.0,1
SI,94.3,3.2,54.41,5.0,14.0,1,0,0.0,1,1,1.5,0.47,1.5,1.75,0,0,0,0,8,0.0,0.0,0.0,93.8,2348.0,6.1,103.0,1
SI,88.5,3.27,54.61,4.95,14.0,1,0,1.0,1,0,1.46,0.4,0.95,1.68,0,0,0,0,8,0.0,0.0,0.0,87.3,2232.0,5.9,100.0,1
CH,87.3,3.23,54.43,4.95,12.0,1,0,0.0,0,0,1.62,-0.05,2.07,3.17,0,0,0,0,8,0.0,0.0,0.0,86.4,2008.0,6.1,83.0,1
SL,82.6,2.92,54.51,5.04,13.0,1,0,1.0,1,2,-1.32,-0.47,-1.52,0.52,0,1,1,2,7,0.0,0.0,0.0,81.8,2579.0,6.0,295.0,1
FF,95.5,3.07,53.83,5.06,13.0,1,0,1.0,1,1,1.29,0.67,-1.2,2.28,0,1,1,2,7,20.0,66.8,-5.0,95.7,2440.0,6.7,114.0,1
SL,82.1,3.0,54.77,5.2,14.0,1,0,0.0,0,1,-1.29,-0.49,0.71,0.45,0,1,1,2,7,0.0,0.0,0.0,81.0,2606.0,5.7,297.0,1
