pitch_type,release_speed,release_pos_x,release_pos_y,release_pos_z,zone,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,spin_axis,winning_by
SL,77.3,3.17,54.45,5.19,13.0,1,0,0.0,0,0,-0.73,-0.14,-0.85,1.55,0,1,0,2,1,0.0,0.0,0.0,76.9,2141.0,6.0,315.0,-2
SI,92.5,3.01,54.01,5.18,13.0,0,0,0.0,0,0,1.52,0.44,-0.98,1.44,1,1,0,1,1,0.0,0.0,0.0,92.3,2194.0,6.5,124.0,-1
CH,87.1,3.24,54.2,5.01,3.0,1,0,1.0,0,0,1.59,0.14,0.78,2.96,1,1,0,1,1,0.0,0.0,0.0,87.2,1959.0,6.3,98.0,0
SI,92.3,3.16,54.22,5.2,12.0,0,0,0.0,0,0,1.6,0.18,0.93,3.74,0,1,1,0,1,0.0,0.0,0.0,92.3,2095.0,6.3,120.0,0
CH,88.8,3.28,54.22,5.0,6.0,1,0,1.0,0,0,1.42,-0.11,0.8,2.68,0,1,0,0,1,3.0,60.6,-39.0,88.9,2040.0,6.3,101.0,0
FF,91.3,3.17,54.27,5.27,2.0,1,0,1.0,0,0,1.17,1.1,-0.17,2.91,0,0,0,0,1,0.0,0.0,0.0,91.1,2280.0,6.2,117.0,0
CH,88.7,3.11,53.81,4.99,13.0,1,0,0.0,0,0,1.77,0.35,-1.61,1.63,0,0,0,2,5,0.0,0.0,0.0,88.6,2050.0,6.7,94.0,2
SL,78.7,3.24,54.51,5.27,14.0,0,0,0.0,0,0,-1.4,-0.55,2.46,1.91,0,0,0,1,5,0.0,0.0,0.0,78.1,2208.0,6.0,306.0,2
FF,95.1,3.15,54.13,5.41,6.0,1,0,1.0,0,0,1.27,1.11,0.31,2.38,0,0,0,0,5,0.0,0.0,0.0,94.5,2447.0,6.4,116.0,2
CH,89.7,3.25,54.06,5.13,8.0,1,0,0.0,0,0,1.4,0.48,-0.1,1.92,1,0,0,2,4,374.0,98.6,25.0,89.4,1968.0,6.4,96.0,0
SL,79.8,3.01,53.94,5.34,8.0,0,0,0.0,0,0,-1.59,-0.41,-0.26,2.08,1,0,0,1,4,57.0,89.6,2.0,79.5,2507.0,6.6,311.0,0
CH,90.9,3.32,53.87,5.01,14.0,1,0,0.0,0,0,1.55,-0.01,0.67,1.25,0,1,0,0,4,2.0,73.7,-25.0,91.1,2046.0,6.6,98.0,0
FF,94.4,3.12,53.76,5.48,12.0,1,0,0.0,0,0,1.31,1.19,1.24,2.63,0,0,0,0,4,0.0,0.0,0.0,94.8,2322.0,6.7,106.0,0
CH,90.2,3.2,54.08,5.18,13.0,1,0,0.0,0,0,1.61,0.0,-0.71,1.06,0,1,1,2,3,0.0,0.0,0.0,89.8,2029.0,6.4,101.0,0
FF,94.8,3.18,53.62,5.33,6.0,1,0,1.0,0,0,1.17,0.97,0.46,2.53,0,1,1,1,3,219.0,79.5,24.0,95.3,2395.0,6.9,122.0,0
FF,95.1,3.13,53.86,5.4,13.0,1,0,0.0,0,0,1.16,0.91,-1.26,1.98,0,0,1,1,3,0.0,0.0,0.0,94.8,2332.0,6.6,116.0,0
SL,78.3,3.27,53.99,5.31,13.0,0,0,1.0,0,0,-1.09,-0.19,-0.59,1.51,0,0,1,0,3,0.0,0.0,0.0,78.0,2289.0,6.5,312.0,0
CH,85.5,3.15,54.24,5.16,8.0,1,0,1.0,0,0,1.67,0.18,-0.02,1.58,0,0,0,0,3,0.0,0.0,0.0,84.9,2070.0,6.3,100.0,0
FF,95.4,3.0,53.87,5.39,4.0,1,0,1.0,0,0,1.13,0.9,-0.41,2.44,0,0,0,2,2,0.0,0.0,0.0,95.3,2326.0,6.6,122.0,0
FF,94.8,3.01,53.97,5.33,8.0,0,0,1.0,0,0,1.21,1.09,-0.25,1.89,0,0,0,1,2,0.0,0.0,0.0,94.7,2386.0,6.5,124.0,0
SL,76.9,3.21,54.12,5.44,12.0,1,0,1.0,0,0,-1.31,-0.47,1.02,2.77,0,0,0,0,2,0.0,0.0,0.0,76.6,2255.0,6.4,304.0,0
SL,78.8,3.18,54.27,5.5,3.0,1,0,1.0,0,0,-1.43,-0.26,0.3,3.1,0,0,1,2,1,0.0,0.0,0.0,78.1,2188.0,6.2,318.0,0
FF,95.2,3.14,54.03,5.37,12.0,1,0,0.0,0,0,1.29,0.7,0.86,4.57,0,0,1,1,1,0.0,0.0,0.0,95.0,2189.0,6.5,124.0,0
FF,93.2,2.94,53.85,5.41,13.0,1,0,0.0,0,0,1.11,1.07,-1.48,1.7,0,0,0,1,1,0.0,0.0,0.0,93.0,2285.0,6.6,134.0,0
