pitches,player_id,api_game_date_month_text,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,city
2058,CWS,Sep/Oct,4727,43.5,0.222,0.13,0.269,0.352,0.292,0.228,103,463,89.4,19.7,2364,94.2,94.28,240,1050,"Chicago, IL"
2037,LAD,Sep/Oct,4629,44.0,0.211,0.15,0.256,0.362,0.294,0.218,97,459,90.0,20.3,2343,93.6,93.69,226,1028,"Los Angeles, CA"
1952,LAD,Aug,3884,50.3,0.208,0.146,0.262,0.354,0.288,0.22,87,418,89.6,21.7,2352,93.8,93.67,236,970,"Los Angeles, CA"
1941,AZ,Sep/Oct,4863,39.9,0.213,0.22,0.211,0.433,0.324,0.232,94,441,90.0,20.9,2312,93.9,93.83,183,938,"Phoenix, AZ"
1933,MIN,Sep/Oct,4829,40.0,0.253,0.156,0.292,0.409,0.326,0.258,102,403,89.2,22.5,2298,93.4,93.5,206,990,"Minneapolis, MN"
1821,SEA,May,4075,44.7,0.26,0.197,0.304,0.457,0.347,0.262,106,407,91.4,18.8,2182,93.2,93.59,224,965,"Seattle, WA"
1820,MIN,Jun,4102,44.4,0.246,0.176,0.266,0.422,0.337,0.244,95,386,91.1,19.2,2277,92.7,92.51,170,889,"Minneapolis, MN"
1793,MIN,May,4370,41.0,0.257,0.167,0.29,0.424,0.341,0.271,91,354,91.1,20.8,2249,92.8,92.59,180,873,"Minneapolis, MN"
1774,CWS,Aug,4129,43.0,0.222,0.113,0.274,0.335,0.281,0.203,86,388,88.2,20.4,2365,94.5,94.58,219,923,"Chicago, IL"
1757,DET,Sep/Oct,4759,36.9,0.265,0.214,0.283,0.479,0.371,0.255,103,388,90.2,17.8,2233,93.0,92.99,163,865,"Detroit, MI"
1750,SEA,Sep/Oct,4539,38.6,0.254,0.109,0.321,0.363,0.306,0.239,98,386,88.2,21.8,2239,93.9,94.19,211,932,"Seattle, WA"
1745,HOU,May,3972,43.9,0.229,0.097,0.271,0.326,0.291,0.251,87,380,89.9,17.9,2330,94.2,93.87,176,921,"Houston, TX"
1743,HOU,Jul,4010,43.5,0.225,0.186,0.257,0.411,0.317,0.204,87,387,89.9,25.1,2316,94.1,93.61,214,926,"Houston, TX"
1717,BAL,May,4399,39.0,0.291,0.201,0.331,0.492,0.379,0.295,110,378,91.8,19.5,2276,93.6,93.78,169,818,"Baltimore, MD"
1695,CLE,Sep/Oct,4913,34.5,0.231,0.166,0.254,0.397,0.317,0.25,82,355,90.8,20.5,2322,93.5,92.31,199,829,"Cleveland, OH"
1695,DET,May,4096,41.4,0.231,0.201,0.246,0.432,0.336,0.255,78,338,93.0,18.0,2218,93.7,93.39,138,820,"Detroit, MI"
1687,LAD,Jul,3623,46.6,0.219,0.133,0.251,0.352,0.284,0.236,79,361,87.9,20.4,2331,93.3,93.39,167,834,"Los Angeles, CA"
1678,OAK,Aug,3936,42.6,0.268,0.19,0.29,0.458,0.352,0.263,99,369,90.3,18.7,2110,93.0,92.62,141,833,"Oakland, CA"
1674,BOS,Sep/Oct,4451,37.6,0.289,0.225,0.337,0.514,0.382,0.253,100,346,90.5,22.0,2210,93.8,93.92,181,813,"Boston, MA"
1671,CIN,Sep/Oct,5014,33.3,0.202,0.16,0.244,0.362,0.318,0.208,63,312,89.0,18.0,2335,94.4,94.51,192,758,"Cincinnati, OH"
1650,SEA,Jun,4138,39.9,0.234,0.184,0.251,0.418,0.326,0.25,84,359,90.3,19.9,2170,93.3,93.64,174,831,"Seattle, WA"
1636,MIN,Aug,4093,40.0,0.248,0.123,0.322,0.371,0.313,0.244,81,326,90.2,20.1,2316,93.5,93.65,205,849,"Minneapolis, MN"
1634,CWS,May,4187,39.0,0.24,0.173,0.292,0.413,0.317,0.232,83,346,91.3,18.5,2333,95.1,95.25,189,800,"Chicago, IL"
1621,KC,Aug,4358,37.2,0.274,0.159,0.304,0.432,0.347,0.292,95,347,91.2,18.5,2281,94.0,94.21,140,776,"Kansas City, MO"
1621,CIN,May,4135,39.2,0.234,0.234,0.26,0.469,0.359,0.242,75,320,92.4,19.5,2347,95.1,95.11,193,763,"Cincinnati, OH"
1616,KC,Sep/Oct,4547,35.5,0.314,0.166,0.375,0.48,0.378,0.26,104,331,90.9,14.5,2273,93.5,91.55,161,792,"Kansas City, MO"
1608,LAD,Jun,3655,44.0,0.227,0.134,0.27,0.361,0.306,0.224,76,335,89.3,19.3,2348,93.6,93.6,185,817,"Los Angeles, CA"
1605,BAL,Jul,3761,42.7,0.256,0.174,0.292,0.43,0.331,0.259,90,351,91.9,18.0,2287,93.9,93.89,181,793,"Baltimore, MD"
1599,CHC,Aug,4607,34.7,0.272,0.234,0.283,0.506,0.377,0.268,92,338,90.2,18.9,2315,93.1,80.73,164,746,"Chicago, IL"
1592,CIN,Jul,4077,39.0,0.218,0.174,0.27,0.392,0.316,0.223,75,344,90.3,22.4,2362,95.1,95.0,189,774,"Cincinnati, OH"
1580,CWS,Jun,4144,38.1,0.291,0.199,0.359,0.49,0.381,0.271,89,306,91.3,18.3,2351,94.8,94.72,191,755,"Chicago, IL"
1577,TOR,Jun,4107,38.4,0.283,0.184,0.327,0.467,0.357,0.273,100,353,91.5,17.2,2265,94.1,94.09,159,812,"Toronto, ON"
1560,HOU,Jun,3583,43.5,0.224,0.158,0.242,0.382,0.318,0.25,74,330,91.5,22.3,2357,94.4,93.93,167,797,"Houston, TX"
1545,LAD,May,4100,37.7,0.267,0.234,0.308,0.502,0.379,0.243,88,329,88.6,18.7,2305,94.0,94.03,159,725,"Los Angeles, CA"
1523,ATL,May,4213,36.2,0.238,0.122,0.295,0.359,0.313,0.237,82,345,91.3,18.7,2225,94.6,94.36,174,766,"Atlanta, GA"
1522,TOR,Sep/Oct,4675,32.6,0.246,0.167,0.281,0.412,0.322,0.262,87,354,90.5,19.1,2271,93.7,93.67,139,760,"Toronto, ON"
1516,ATL,Aug,4105,36.9,0.257,0.165,0.298,0.422,0.33,0.256,89,346,91.2,17.2,2288,94.7,95.01,176,764,"Atlanta, GA"
1507,KC,Jul,4156,36.3,0.258,0.207,0.26,0.465,0.357,0.281,81,314,89.2,13.5,2275,93.8,93.86,121,686,"Kansas City, MO"
1501,OAK,Sep/Oct,4509,33.3,0.3,0.26,0.353,0.56,0.404,0.281,98,327,91.8,19.2,2191,93.3,93.59,163,707,"Oakland, CA"
1485,CLE,Jun,4070,36.5,0.316,0.266,0.335,0.582,0.416,0.307,102,323,92.3,19.3,2248,93.2,93.51,146,750,"Cleveland, OH"
1484,HOU,Sep/Oct,4466,33.2,0.225,0.188,0.28,0.413,0.318,0.232,66,293,89.2,21.0,2347,94.5,93.99,192,746,"Houston, TX"
1483,WSH,Jun,4110,36.1,0.272,0.233,0.267,0.505,0.378,0.266,90,331,92.2,18.3,2244,94.0,94.25,103,645,"Washington, DC"
1482,TOR,Aug,3917,37.8,0.27,0.148,0.343,0.418,0.345,0.253,84,311,90.6,18.5,2312,94.0,93.94,176,738,"Toronto, ON"
1480,STL,Sep/Oct,4510,32.8,0.281,0.148,0.345,0.429,0.351,0.247,95,338,88.5,9.0,2259,93.9,94.28,132,734,"St. Louis, MO"
1480,TOR,May,3712,39.9,0.284,0.175,0.335,0.459,0.354,0.27,94,331,90.1,19.6,2239,93.6,93.65,148,741,"Toronto, ON"
1479,HOU,Aug,3922,37.7,0.243,0.135,0.299,0.377,0.311,0.237,81,334,90.6,19.0,2352,94.3,93.71,196,789,"Houston, TX"
1471,BAL,Aug,3765,39.1,0.276,0.192,0.284,0.468,0.365,0.263,85,308,90.6,15.3,2279,94.1,94.09,119,704,"Baltimore, MD"
1469,MIA,Sep/Oct,4721,31.1,0.268,0.279,0.316,0.546,0.38,0.242,75,280,89.9,20.3,2291,95.0,94.91,177,686,"Miami, FL"
1467,CHC,Jun,4181,35.1,0.275,0.212,0.309,0.487,0.366,0.254,88,320,90.1,15.0,2266,92.3,92.42,125,668,"Chicago, IL"
1460,KC,Jun,4067,35.9,0.252,0.134,0.296,0.386,0.337,0.251,75,298,89.2,15.3,2244,94.2,94.62,120,674,"Kansas City, MO"
1457,PIT,Sep/Oct,4816,30.3,0.279,0.214,0.319,0.493,0.387,0.262,81,290,91.2,17.7,2338,95.0,95.23,119,655,"Pittsburgh, PA"
1453,BAL,Sep/Oct,4683,31.0,0.279,0.168,0.304,0.447,0.348,0.277,93,333,90.0,15.5,2277,94.4,94.28,160,765,"Baltimore, MD"
1451,BAL,Jun,3630,40.0,0.252,0.153,0.274,0.406,0.321,0.288,79,313,91.4,17.9,2274,94.0,94.13,162,733,"Baltimore, MD"
1451,HOU,Mar/Apr,2983,48.6,0.211,0.167,0.229,0.378,0.298,0.249,71,336,90.7,21.1,2306,94.1,93.77,177,772,"Houston, TX"
1446,ATL,Jul,3813,37.9,0.217,0.113,0.265,0.33,0.282,0.236,69,318,87.7,19.6,2254,95.0,95.44,158,720,"Atlanta, GA"
1445,BOS,Aug,4206,34.4,0.313,0.273,0.354,0.587,0.421,0.276,94,300,91.5,15.5,2281,94.2,94.4,145,698,"Boston, MA"
1442,BOS,May,4039,35.7,0.243,0.204,0.267,0.447,0.336,0.266,76,313,92.8,17.5,2213,94.0,94.23,157,688,"Boston, MA"
1429,NYM,May,4193,34.1,0.277,0.224,0.326,0.502,0.37,0.247,89,321,90.3,21.2,2255,93.8,93.73,166,685,"New York, NY"
1428,MIN,Jul,3273,43.6,0.252,0.228,0.257,0.48,0.34,0.25,74,294,90.9,18.1,2284,93.0,92.81,156,720,"Minneapolis, MN"
1423,CIN,Mar/Apr,3270,43.5,0.264,0.177,0.306,0.441,0.369,0.239,79,299,91.6,23.3,2332,94.4,94.48,143,656,"Cincinnati, OH"
