executed,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
1,SL,2022-09-30,89.7,-1.44,5.76,"deGrom, Jacob",663586,594798,,ball,,,,,14,Austin Riley strikes out on a foul tip.,R,R,R,ATL,NYM,B,,,1,0,2022,0.41,0.18,1.11,2.17,,,,2,6,Bot,,,,,621512,,,5.471652674227720,-130.62516134976500,-3.301105652075540,3.6172827921660400,27.09804422993190,-29.65635029817380,3.5,1.56,,,,90.3,2426,6.6,661467,594798,621512,624413,641645,500871,596019,592192,607043,643446,53.92,,,,,,,,43,2,Slider,3,1,3,1,1,3,3,1,Standard,Standard,164,0,0.023
0,SL,2022-09-30,90.4,-1.39,5.81,"deGrom, Jacob",663586,594798,,ball,,,,,14,Austin Riley strikes out on a foul tip.,R,R,R,ATL,NYM,B,,,0,0,2022,0.33,0.35,1.33,1.39,,,,2,6,Bot,,,,,621512,,,6.137338605966600,-131.55042892488800,-5.86002605046322,2.568762942250310,26.573476052432600,-27.137957420529300,3.5,1.65,,,,91.2,2339,6.7,661467,594798,621512,624413,641645,500871,596019,592192,607043,643446,53.82,,,,,,,,43,1,Slider,3,1,3,1,1,3,3,1,Standard,Standard,182,0,0.015
1,SL,2022-09-30,89.8,-1.42,5.74,"deGrom, Jacob",660670,594798,strikeout,swinging_strike,,,,,14,Ronald Acuna Jr.  strikes out swinging.,R,R,R,ATL,NYM,S,2,,1,2,2022,0.4,0.39,1.61,1,,,,0,6,Bot,,,,,621512,,,6.716685452120330,-130.73564192529900,-6.729348720508550,3.394590019457000,23.320791488803500,-26.552612387134700,3.5,1.56,,,,91,2526,6.6,661467,594798,621512,624413,641645,500871,596019,592192,607043,643446,53.87,,,0,1,0,0,,40,4,Slider,2,1,2,1,1,2,2,1,Standard,Standard,155,-0.021,-0.158
1,SL,2022-09-30,89.2,-1.41,5.75,"deGrom, Jacob",660670,594798,,swinging_strike,,,,,14,Ronald Acuna Jr.  strikes out swinging.,R,R,R,ATL,NYM,S,,,1,1,2022,0.38,0.47,1.42,1.75,,,,0,6,Bot,,,,,621512,,,6.196854889720020,-129.8199366260560,-4.913779992761690,3.2101624770758000,23.571784423426200,-26.063620324138900,3.5,1.56,,,,90.3,2523,6.7,661467,594798,621512,624413,641645,500871,596019,592192,607043,643446,53.81,,,,,,,,40,3,Slider,2,1,2,1,1,2,2,1,Standard,Standard,156,0,-0.054
0,SL,2022-09-30,91.3,-1.49,5.79,"deGrom, Jacob",606115,594798,field_out,hit_into_play,,,,,2,Orlando Arcia pops out to shortstop Francisco Lindor.,R,R,R,ATL,NYM,X,6,popup,1,2,2022,0.22,0.35,-0.05,2.92,,,,2,5,Bot,114.43,134.18,,,621512,,,3.169176557964240,-133.04047604316500,-2.167258468056030,2.101125104119320,24.745821523925800,-27.78966454046470,3.5,1.64,169,79.5,61,92.2,2632,6.5,661467,594798,621512,624413,641645,500871,596019,592192,607043,643446,54.03,0.026,0.025,0,1,0,0,3,36,4,Slider,2,1,2,1,1,2,2,1,Standard,Standard,158,-0.01,-0.07
0,SL,2022-09-30,93.2,-1.34,5.71,"deGrom, Jacob",606115,594798,,ball,,,,,14,Orlando Arcia pops out to shortstop Francisco Lindor.,R,R,R,ATL,NYM,B,,,0,2,2022,0.08,0.42,1.91,0.78,,,,2,5,Bot,,,,,621512,,,8.21078109555664,-135.38494960158500,-7.902893573528730,-0.5997565369689600,26.686202568236800,-25.56921172006000,3.44,1.67,,,,94,2570,6.6,661467,594798,621512,624413,641645,500871,596019,592192,607043,643446,53.87,,,,,,,,36,3,Slider,2,1,2,1,1,2,2,1,Standard,Standard,196,0,0.011
1,SL,2022-09-30,92,-1.46,5.75,"deGrom, Jacob",606115,594798,,swinging_strike,,,,,14,Orlando Arcia pops out to shortstop Francisco Lindor.,R,R,R,ATL,NYM,S,,,0,1,2022,0.09,0.39,1.37,1.8,,,,2,5,Bot,,,,,621512,,,7.029438697511460,-133.89181194518200,-5.0892378994006300,-0.25057700450366600,26.183395331456400,-26.63414037067380,3.5,1.64,,,,93,2600,6.6,661467,594798,621512,624413,641645,500871,596019,592192,607043,643446,53.86,,,,,,,,36,2,Slider,2,1,2,1,1,2,2,1,Standard,Standard,174,0,-0.023
1,SL,2022-09-30,91.6,-1.44,5.77,"deGrom, Jacob",592696,594798,,foul,,,,,9,Eddie Rosario strikes out swinging.,R,L,R,ATL,NYM,S,,,1,1,2022,0.47,0.43,0.63,1.68,,,,1,5,Bot,,,,,621512,,,4.24350028477763,-133.46875097122600,-5.513486192540930,4.843951544865510,24.84468873670620,-26.150120584358400,3.28,1.6,13,95,-7,92.7,2676,6.6,661467,594798,621512,624413,641645,500871,596019,592192,607043,643446,53.91,,,,,,,,35,3,Slider,2,1,2,1,1,2,2,1,Strategic,Standard,149,0,-0.036
1,SL,2022-09-30,93.4,-1.47,5.73,"deGrom, Jacob",592696,594798,,swinging_strike,,,,,14,Eddie Rosario strikes out swinging.,R,L,R,ATL,NYM,S,,,1,0,2022,0.32,0.58,1.16,1.58,,,,1,5,Bot,,,,,621512,,,6.113109463407160,-135.95767696757000,-6.30660420795538,2.7464807846350900,27.452320887985100,-23.849034856444500,3.28,1.6,,,,94.3,2590,6.6,661467,594798,621512,624413,641645,500871,596019,592192,607043,643446,53.89,,,,,,,,35,2,Slider,2,1,2,1,1,2,2,1,Strategic,Standard,203,0,-0.031
0,SL,2022-09-30,91.8,-1.36,5.83,"deGrom, Jacob",661388,594798,,ball,,,,,14,William Contreras strikes out swinging.,R,R,R,ATL,NYM,B,,,2,2,2022,0.29,0.26,1.3,2.13,,,,0,5,Bot,,,,,621512,,,6.145160758134500,-133.70239837064000,-4.234271535098590,2.462445682951490,23.689617650106800,-28.411301894883900,3.42,1.65,,,,93.3,2540,6.7,661467,594798,621512,624413,641645,500871,596019,592192,607043,643446,53.76,,,,,,,,34,5,Slider,2,1,2,1,1,2,2,1,Standard,Standard,181,0,0.103
