"","Plate X","Plate Y"
"1",-7.56,26.64
"2",10.68,25.8
"3",6.24,34.08
"4",-0.36,37.44
"5",0.84,17.64
"6",-6.72,24.96
"7",9.48,22.92
"8",-0.24,35.4
"9",-4.2,40.68
"10",8.52,43.56
"11",-0.24,40.08
"12",3.24,40.32
"13",-2.28,19.8
"14",-8.88,16.68
"15",1.08,23.88
"16",-1.44,35.04
"17",-2.88,38.88
"18",-22.08,12.48
"19",-26.4,8.04
"20",3.48,48.96
"21",6,39.84
"22",-0.24,11.16
"23",-15.96,3
"24",-14.28,15.24
"25",4.56,39.36
"26",4.8,19.32
"27",-20.88,20.88
"28",-1.32,14.28
"29",-0.12,14.04
"30",5.52,13.68
"31",4.8,44.04
"32",4.32,34.92
"33",-1.8,38.52
"34",-10.08,19.32
"35",1.08,42.48
"36",0.36,24.84
"37",-8.52,18.48
"38",-10.44,11.76
"39",-13.32,15.84
"40",6.24,51.12
"41",-1.92,46.8
"42",-12.48,27.12
"43",7.32,38.04
"44",1.56,21.72
"45",-5.52,23.04
"46",-10.2,22.8
"47",-0.96,48.24
"48",4.32,42.6
"49",8.04,47.76
"50",-7.8,20.52
"51",1.2,32.52
"52",-17.4,16.56
"53",-8.16,25.92
"54",4.44,41.28
"55",-2.4,26.4
"56",11.64,39.6
"57",-15.24,26.16
"58",-16.44,19.68
"59",15.6,49.32
"60",-9.36,8.88
"61",-14.16,21.36
"62",9.84,42.12
"63",0.12,39.48
"64",-0.6,26.4
"65",-3.72,23.52
"66",8.52,27.6
"67",-8.28,18.48
"68",-3.96,45.84
"69",-13.56,11.04
"70",10.08,36.48
"71",4.92,25.2
"72",4.8,51.84
"73",6.96,35.4
"74",2.52,29.88
"75",13.08,20.16
"76",-7.44,26.16
"77",1.56,14.64
"78",-7.92,35.64
"79",5.88,27.12
"80",-2.88,37.56
"81",0,37.8
"82",-9.48,35.28
"83",-6.6,39.96
"84",-2.64,24.48
"85",0.24,20.76
"86",5.64,37.08
"87",-7.56,27.36
"88",15,24.96
"89",-9.36,29.04
"90",-6.72,19.32
"91",-6.24,29.64
"92",-0.6,13.2
"93",6,9.96
"94",2.88,22.92
"95",-12.72,15.12
"96",-8.88,27.6
"97",12.12,35.88
"98",10.44,29.64
"99",-21.84,25.44
"100",-20.16,10.56
"101",8.16,27.84
"102",-10.8,20.16
"103",12.12,39.96
"104",5.16,47.88
"105",1.92,25.44
"106",-6.6,37.56
"107",-6.72,18
"108",-4.68,16.44
"109",8.16,17.88
"110",19.68,30.6
"111",-3.72,16.8
"112",-23.4,17.52
"113",7.8,30.36
"114",6,21.84
"115",1.2,19.08
"116",-8.52,28.32
"117",9.24,27.24
"118",3.24,34.68
"119",-18.24,13.56
"120",-6.84,24.72
"121",-7.8,29.28
"122",6.48,34.56
"123",-12.48,20.16
"124",2.04,16.92
"125",-4.08,29.64
"126",-16.56,9.6
"127",-15.84,16.08
"128",-3.72,33
"129",-11.88,11.04
"130",-2.04,40.2
"131",0.24,28.92
"132",-7.68,27.12
"133",-5.28,32.04
"134",-18.96,17.52
"135",-0.72,33.24
"136",-10.68,35.04
"137",15.84,50.64
"138",-9.12,29.52
"139",2.16,31.56
"140",6.72,45.84
"141",-2.28,22.56
"142",1.08,23.28
"143",-5.88,42.84
"144",-21.96,5.28
"145",-5.4,39.36
"146",-9.12,14.76
"147",-3.84,38.88
"148",-12.36,33.24
"149",4.68,31.56
"150",4.2,28.68
"151",3.24,23.64
"152",0.6,29.88
"153",0.36,24
"154",-4.44,32.88
"155",2.76,34.44
"156",-6.96,17.52
"157",-14.52,12.84
"158",-6.72,36.12
"159",5.4,30
"160",-5.4,36
"161",0.48,21
"162",-13.08,6.84
"163",-19.2,12
"164",-18.36,-0.12
"165",-13.44,19.56
"166",15.36,29.4
"167",5.4,44.64
"168",10.56,29.04
"169",10.2,26.16
"170",0,38.4
"171",-9.84,42.6
"172",-4.08,20.64
"173",-5.04,41.16
"174",-3.96,20.88
"175",-9.84,25.08
"176",6.96,25.2
"177",-25.8,19.08
"178",-4.56,39.96
"179",7.56,43.44
"180",3.12,39.36
"181",-14.16,18.84
"182",5.28,39.96
"183",-15.12,20.52
"184",-11.76,23.16
"185",-12.36,22.08
"186",-0.36,20.52
"187",-19.08,17.28
"188",-2.52,48.36
"189",4.92,41.28
"190",-1.56,44.4
"191",-11.28,23.64
"192",-1.56,37.2
"193",3.72,40.92
"194",8.16,32.64
"195",1.8,39.72
"196",-27.36,18.84
"197",-6.72,29.88
"198",-8.64,15.6
"199",0.96,39.12
"200",-3,46.44
"201",-15.36,22.44
"202",-0.72,15.48
"203",-13.44,20.04
"204",-1.44,21.96
"205",-9.48,30.84
"206",-3.24,21.6
"207",-9.48,25.44
"208",7.44,35.04
"209",9.96,39.96
"210",-10.8,20.64
"211",-2.28,42.24
"212",-11.28,22.68
"213",-2.16,20.4
"214",-4.8,30.48
"215",8.52,36
"216",-6.72,12.36
"217",14.16,21
"218",-7.56,29.4
"219",-3.36,25.56
"220",5.88,26.88
"221",3.48,36.48
"222",3.48,35.28
"223",-15.6,9.96
"224",7.32,45.84
"225",18,34.68
"226",2.28,36
"227",-22.2,11.88
"228",-10.2,25.92
"229",-6.36,32.4
"230",1.92,27.12
"231",13.56,36.48
"232",3.72,42.36
"233",0.24,14.64
"234",10.8,23.16
"235",-27,1.8
"236",0.36,28.92
"237",7.92,42.6
"238",8.28,32.76
"239",6,41.4
"240",-0.84,42.96
"241",-7.32,15.6
"242",-1.2,24
"243",-7.68,24.96
"244",-9.24,36.48
"245",0.24,49.8
"246",-6.12,40.32
"247",8.4,32.04
"248",-0.96,27.96
"249",2.04,46.8
"250",-5.16,15.84
"251",4.56,38.28
"252",9.6,19.92
"253",-7.92,42.24
"254",-11.16,24
"255",7.8,42.48
"256",6.96,37.8
"257",0.96,41.4
"258",-3.48,27.24
"259",-4.08,22.08
"260",-3.48,12.72
"261",1.56,41.4
"262",-11.64,21
"263",-6.36,40.8
"264",1.32,23.76
"265",-5.4,28.08
"266",-7.32,25.32
"267",11.04,43.08
"268",11.16,42.72
"269",-3.84,31.8
"270",0.96,40.32
"271",-4.08,21.12
"272",-0.36,14.28
"273",-5.76,21
"274",4.68,41.16
"275",-7.44,19.32
"276",-9,22.44
"277",-11.04,16.44
"278",-1.32,17.76
"279",-13.56,18.84
"280",-24.48,2.52
"281",1.2,19.08
"282",-0.84,19.8
"283",3.84,46.68
"284",-5.52,33
"285",-5.52,35.28
"286",-15.24,16.56
"287",-2.64,22.2
"288",5.16,33.24
"289",-8.28,18.96
"290",-7.8,22.92
"291",2.4,47.16
"292",3.6,24.24
"293",-5.16,21.6
"294",9,39.6
"295",-13.68,15.24
"296",3.12,36.48
"297",1.8,29.76
"298",0.36,24.36
"299",3.96,28.44
"300",16.56,30.24
"301",12.72,30.48
"302",-6.12,21.96
"303",6.36,30.96
"304",2.04,42.36
"305",7.2,30.6
"306",-3.36,15.36
"307",5.52,42
"308",-4.2,33.24
"309",-3.36,12.84
"310",3.24,45.12
"311",-1.08,27.96
"312",8.64,25.56
"313",6.6,40.08
"314",-7.44,20.88
"315",2.04,22.56
"316",-11.28,24.48
"317",-7.2,30.6
"318",-13.44,11.16
"319",-2.28,18.96
"320",2.16,21.72
"321",-17.04,16.32
"322",-11.88,14.88
"323",3.6,17.28
"324",1.08,38.52
"325",9.72,35.4
"326",0.36,24
"327",2.04,40.68
"328",1.2,51.96
"329",-14.04,15.48
"330",-8.88,19.68
"331",-9,19.32
"332",6.84,32.88
"333",-8.88,18.12
"334",7.08,25.44
"335",-16.56,15.84
"336",-2.76,23.16
"337",-5.16,24.24
"338",-5.64,30.72
"339",-18.96,9.72
"340",8.16,40.32
"341",-6.96,29.88
"342",4.08,18.84
"343",-12.36,18.24
"344",2.04,35.04
"345",-16.56,8.28
"346",0.12,19.08
"347",-5.52,18.72
"348",10.92,23.04
"349",16.08,23.16
"350",-4.2,43.68
"351",-1.2,19.92
"352",10.44,34.08
"353",-21.96,1.44
"354",9.12,31.44
"355",-9.12,16.68
"356",-11.4,23.4
"357",6.6,26.28
"358",0.36,39.96
"359",9.48,33.72
"360",8.64,44.4
"361",-17.52,19.44
"362",-13.68,-4.56
"363",-2.16,39.12
"364",-3.12,34.8
"365",-7.56,21.6
"366",8.76,11.88
"367",4.2,42.72
"368",-30.96,21.84
"369",8.64,42.6
"370",10.44,42.24
"371",-5.88,24.6
"372",7.44,21.48
"373",-7.44,22.44
"374",-4.56,29.4
"375",-1.2,42
"376",9.48,34.32
"377",-2.28,28.56
"378",8.16,23.04
"379",5.28,22.08
"380",0.24,20.64
"381",5.64,41.76
"382",-4.68,25.2
"383",8.4,44.04
"384",0.6,37.44
"385",0,12.48
"386",-17.16,18.24
"387",0.24,35.64
"388",3.84,31.8
"389",-20.64,6.24
"390",-1.56,22.92
"391",-2.52,39.24
"392",8.16,39
"393",12.72,13.92
"394",-6.12,12.24
"395",-2.64,32.04
